# V1.0	10.20.2004	 User: lda	 Total number of Spots: 3072
# Created by: TIGR Spotfinder 2. 2. 3.
# TIFF files processed: CL100804#45G1_Cy3(112-10).tif; CL100804#45G1_Cy5(112-10).tif.
# 
UID	IA	IB	R	C	MR	MC	SR	SC	FlagA	FlagB	SA	SF	QCscore	QCA	QCB	BkgA	BkgB
52	71133	32030	2	4	1	1	2	4	C	C	61	1.0000	0.3038	0.3217	0.2858	22326.000000	9638.000000
53	87618	81152	2	5	1	1	2	5	C	C	85	1.0000	0.2241	0.2091	0.2392	39015.000000	15470.000000
54	144430	75203	2	6	1	1	2	6	C	C	56	1.0000	0.5395	0.5554	0.5236	23352.000000	9296.000000
55	63228	20181	2	7	1	1	2	7	C	C	54	1.0000	0.1767	0.2039	0.1496	20250.000000	8748.000000
56	68592	25947	2	8	1	1	2	8	C	C	60	1.0000	0.1664	0.1915	0.1412	21300.000000	10140.000000
57	113494	60986	2	9	1	1	2	9	C	C	59	1.0000	0.4505	0.4655	0.4354	24662.000000	9735.000000
58	66635	19116	2	10	1	1	2	10	B	B	46	1.0000	0.2032	0.2238	0.1827	17986.000000	7636.000000
59	122441	46862	2	11	1	1	2	11	C	C	56	1.0000	0.3729	0.3958	0.3500	24024.000000	9128.000000
60	300898	112003	2	12	1	1	2	12	C	C	65	1.0000	0.5181	0.5377	0.4985	22490.000000	10920.000000
61	610104	3225850	2	13	1	1	2	13	C	C	72	1.0000	0.8885	0.8655	0.9116	31176.000000	17352.000000
62	184461	413434	2	14	1	1	2	14	C	C	73	1.0000	0.8332	0.8080	0.8585	28835.000000	14819.000000
63	84550	50531	2	15	1	1	2	15	C	C	67	1.0000	0.2724	0.2878	0.2569	27336.000000	13132.000000
64	99219	77875	2	16	1	1	2	16	C	C	78	1.0000	0.3979	0.3963	0.3995	30732.000000	15834.000000
65	62096	16037	2	17	1	1	2	17	B	B	48	1.0000	0.0000	0.0000	0.0000	21888.000000	9120.000000
66	71329	17066	2	18	1	1	2	18	C	C	63	1.0000	0.0000	0.0000	0.0000	21735.000000	11151.000000
67	160213	139608	2	19	1	1	2	19	C	C	74	1.0000	0.8206	0.8206	0.8206	31746.000000	14356.000000
68	75231	15903	2	20	1	1	2	20	C	C	63	1.0000	0.0822	0.1079	0.0565	26775.000000	12474.000000
69	1114160	1096236	2	21	1	1	2	21	C	C	116	0.2500	0.8437	0.8245	0.8629	33785.000000	25404.000000
70	462165	567596	2	22	1	1	2	22	C	C	103	0.1748	0.9181	0.8736	0.9627	20592.000000	14706.000000
71	332733	255831	2	23	1	1	2	23	C	C	75	1.0000	0.9100	0.9100	0.9100	39300.000000	16050.000000
72	126082	108531	2	24	1	1	2	24	C	C	72	1.0000	0.6078	0.6078	0.6078	37944.000000	12960.000000
73	916510	707816	2	25	1	2	2	1	C	C	68	1.0000	0.9169	0.9239	0.9100	48484.000000	18496.000000
74	146697	58408	2	26	1	2	2	2	C	C	61	1.0000	0.1008	0.1078	0.0939	35868.000000	13237.000000
75	67942	20527	2	27	1	2	2	3	B	B	45	1.0000	0.1174	0.1277	0.1072	23220.000000	8595.000000
76	92375	47060	2	28	1	2	2	4	C	C	62	1.0000	0.2605	0.2617	0.2592	29636.000000	11284.000000
77	59297	10478	2	29	1	2	2	5	C	C	53	1.0000	0.0000	0.0000	0.0000	18550.000000	9699.000000
78	168744	186462	2	30	1	2	2	6	C	C	79	1.0000	0.8694	0.8392	0.8996	39263.000000	15958.000000
79	397416	436329	2	31	1	2	2	7	C	C	82	1.0000	0.9042	0.8923	0.9161	45100.000000	18122.000000
80	74334	22433	2	32	1	2	2	8	C	C	56	1.0000	0.0980	0.1144	0.0816	23296.000000	10864.000000
81	127809	66996	2	33	1	2	2	9	C	C	61	1.0000	0.5190	0.5268	0.5111	30744.000000	12261.000000
82	56539	23431	2	34	1	2	2	10	B	B	44	1.0000	0.0000	0.0000	0.0000	17952.000000	7964.000000
83	141721	46334	2	35	1	2	2	11	C	C	64	1.0000	0.2584	0.2746	0.2422	35136.000000	11968.000000
84	79314	12177	2	36	1	2	2	12	C	C	65	1.0000	0.0624	0.0908	0.0340	26065.000000	11375.000000
85	398640	339701	2	37	1	2	2	13	C	C	86	1.0000	0.9348	0.9289	0.9408	47644.000000	20124.000000
86	722020	1146359	2	38	1	2	2	14	C	C	138	0.1957	0.8456	0.7680	0.9231	29754.000000	95094.000000
87	2921443	2683530	2	39	1	2	2	15	C	C	95	1.0000	0.9542	0.9459	0.9625	96425.000000	56145.000000
88	379398	435110	2	40	1	2	2	16	C	C	92	1.0000	0.8569	0.8463	0.8675	56212.000000	21620.000000
89	108874	53038	2	41	1	2	2	17	C	C	70	1.0000	0.3787	0.4120	0.3454	36750.000000	13580.000000
90	77706	15072	2	42	1	2	2	18	C	C	67	1.0000	0.0000	0.0000	0.0000	29078.000000	12127.000000
91	1850813	1961742	2	43	1	2	2	19	C	C	87	1.0000	0.9649	0.9589	0.9708	60117.000000	27927.000000
92	134870	105026	2	44	1	2	2	20	C	C	64	1.0000	0.5061	0.5038	0.5084	39296.000000	13376.000000
93	925804	730769	2	45	1	2	2	21	C	C	96	0.2292	0.7689	0.7376	0.8001	19712.000000	12870.000000
94	195475	138331	2	46	1	2	2	22	C	C	78	1.0000	0.4285	0.4317	0.4254	49764.000000	19500.000000
95	814352	808239	2	47	1	2	2	23	C	C	89	1.0000	0.9021	0.8994	0.9048	64881.000000	23763.000000
96	272850	199249	2	48	1	2	2	24	C	C	92	1.0000	0.4351	0.4444	0.4259	56856.000000	24656.000000
97	99496	60566	3	1	1	1	3	1	C	C	63	1.0000	0.4798	0.4910	0.4685	29673.000000	12600.000000
98	119125	83832	3	2	1	1	3	2	C	C	80	1.0000	0.3968	0.3998	0.3938	37840.000000	16000.000000
99	121728	81354	3	3	1	1	3	3	C	C	63	1.0000	0.6392	0.6392	0.6392	28476.000000	11403.000000
100	83335	16408	3	4	1	1	3	4	C	C	54	1.0000	0.1356	0.1664	0.1047	19278.000000	9558.000000
101	102779	66644	3	5	1	1	3	5	C	C	73	1.0000	0.2224	0.2250	0.2198	29784.000000	12994.000000
102	323455	274939	3	6	1	1	3	6	C	C	81	1.0000	0.8602	0.8602	0.8602	35964.000000	14580.000000
103	98866	43545	3	7	1	1	3	7	C	C	62	1.0000	0.2521	0.2735	0.2308	29140.000000	10540.000000
104	83962	48233	3	8	1	1	3	8	C	C	52	1.0000	0.5400	0.5371	0.5429	21996.000000	8528.000000
105	59135	19663	3	9	1	1	3	9	C	C	54	1.0000	0.0000	0.0000	0.0000	18900.000000	9180.000000
106	72612	34380	3	10	1	1	3	10	C	C	53	1.0000	0.1851	0.1997	0.1705	24751.000000	9010.000000
107	267118	388086	3	11	1	1	3	11	C	C	82	1.0000	0.7254	0.7155	0.7354	33948.000000	14842.000000
108	2248859	2098613	3	12	1	1	3	12	C	C	91	0.5604	0.9183	0.9236	0.9130	27285.000000	12036.000000
109	157362	133509	3	13	1	1	3	13	C	C	88	1.0000	0.5891	0.5947	0.5834	35376.000000	15312.000000
110	130005	105651	3	14	1	1	3	14	C	C	79	1.0000	0.5106	0.4997	0.5216	36498.000000	15879.000000
111	1604319	2055362	3	15	1	1	3	15	C	C	97	1.0000	0.8498	0.8379	0.8617	63341.000000	37636.000000
112	670531	780460	3	16	1	1	3	16	C	C	100	1.0000	0.7178	0.7139	0.7217	52200.000000	29700.000000
113	86136	37159	3	17	1	1	3	17	C	C	54	1.0000	0.2492	0.2659	0.2325	24084.000000	10422.000000
114	117036	55610	3	18	1	1	3	18	C	C	59	1.0000	0.7379	0.7734	0.7023	26255.000000	11092.000000
115	123721	54705	3	19	1	1	3	19	C	C	52	1.0000	0.6049	0.6173	0.5926	23556.000000	9828.000000
116	73192	29741	3	20	1	1	3	20	C	C	54	1.0000	0.3078	0.3275	0.2881	23382.000000	10152.000000
117	93751	35223	3	21	1	1	3	21	C	C	54	1.0000	0.1912	0.2058	0.1765	26892.000000	10800.000000
118	74066	18116	3	22	1	1	3	22	C	C	55	1.0000	0.0000	0.0000	0.0000	21560.000000	11220.000000
119	396758	351177	3	23	1	1	3	23	C	C	80	1.0000	0.8275	0.8302	0.8247	46240.000000	18560.000000
120	99795	36294	3	24	1	1	3	24	C	C	66	1.0000	0.2434	0.2699	0.2169	30294.000000	12078.000000
121	878678	974360	3	25	1	2	3	1	C	C	73	1.0000	0.8705	0.8641	0.8769	50589.000000	22265.000000
122	88429	29395	3	26	1	2	3	2	C	C	65	1.0000	0.1684	0.1861	0.1507	28080.000000	12935.000000
123	73462	30545	3	27	1	2	3	3	B	B	45	1.0000	0.1184	0.1262	0.1106	20565.000000	9000.000000
124	65348	17345	3	28	1	2	3	4	C	C	52	1.0000	0.0978	0.1176	0.0780	21996.000000	9464.000000
125	55616	13125	3	29	1	2	3	5	C	C	55	1.0000	0.0000	0.0000	0.0000	20295.000000	9900.000000
126	1040586	1114645	3	30	1	2	3	6	C	C	85	1.0000	0.9437	0.9376	0.9498	52870.000000	22440.000000
127	379029	337023	3	31	1	2	3	7	C	C	75	1.0000	0.9068	0.9036	0.9099	46425.000000	16650.000000
128	98263	66218	3	32	1	2	3	8	C	C	61	1.0000	0.4233	0.4190	0.4275	31903.000000	12627.000000
