# V1.0	10.20.2004	 User: lda	 Total number of Spots: 3072
# Created by: TIGR Spotfinder 2. 2. 3.
# TIFF files processed: CL100804#45G1_Cy3(112-10).tif; CL100804#45G1_Cy5(112-10).tif.
# 
UID	IA	IB	R	C	MR	MC	SR	SC	FlagA	FlagB	SA	SF	QCscore	QCA	QCB	BkgA	BkgB
691	394378	282436	15	19	1	1	15	19	C	C	78	1.0000	0.4887	0.4940	0.4835	51948.000000	17940.000000
692	170890	110235	15	20	1	1	15	20	C	C	73	1.0000	0.3845	0.3798	0.3892	36938.000000	16206.000000
693	307808	118530	15	21	1	1	15	21	C	C	64	1.0000	0.3044	0.3230	0.2859	37824.000000	14848.000000
694	118122	175247	15	22	1	1	15	22	C	C	78	1.0000	0.6709	0.6465	0.6952	37362.000000	17238.000000
695	103294	55892	15	23	1	1	15	23	C	C	67	1.0000	0.0000	0.0000	0.0000	33567.000000	13869.000000
696	2939442	2331584	15	24	1	1	15	24	C	C	96	0.7292	0.8720	0.8651	0.8789	67130.000000	35210.000000
697	150616	115958	15	25	1	2	15	1	C	C	74	1.0000	0.2995	0.2901	0.3088	54020.000000	25826.000000
698	95913	25741	15	26	1	2	15	2	C	C	64	1.0000	0.0778	0.0915	0.0642	35840.000000	15872.000000
699	154585	164319	15	27	1	2	15	3	C	C	79	1.0000	0.3321	0.3243	0.3399	55300.000000	35076.000000
700	61332	13595	15	28	1	2	15	4	B	B	49	1.0000	0.0000	0.0000	0.0000	22540.000000	10682.000000
701	147359	68820	15	29	1	2	15	5	C	C	75	1.0000	0.2429	0.2814	0.2044	53625.000000	28350.000000
702	313235	208055	15	30	1	2	15	6	C	C	84	1.0000	0.3638	0.3816	0.3460	101220.000000	69888.000000
703	161724	79547	15	31	1	2	15	7	C	C	67	1.0000	0.1287	0.1549	0.1025	75040.000000	52796.000000
704	1096429	713724	15	32	1	2	15	8	C	C	81	1.0000	0.2628	0.2737	0.2519	138186.000000	125307.000000
705	464080	508960	15	33	1	2	15	9	C	C	87	1.0000	0.4681	0.4651	0.4711	80388.000000	43065.000000
706	216157	76839	15	34	1	2	15	10	C	C	77	1.0000	0.1736	0.1917	0.1555	62216.000000	26565.000000
707	84295	39364	15	35	1	2	15	11	B	B	49	1.0000	0.0000	0.0000	0.0000	33761.000000	21462.000000
708	373804	437123	15	36	1	2	15	12	C	C	243	0.0288	0.6935	0.6619	0.7251	31836.000000	38080.000000
709	252409	233989	15	37	1	2	15	13	C	C	50	1.0000	0.1546	0.3091	0.0000	79200.000000	72200.000000
710	78248	22981	15	38	1	2	15	14	C	C	56	1.0000	0.1009	0.1144	0.0873	26096.000000	13328.000000
711	89923	27099	15	39	1	2	15	15	C	C	57	1.0000	0.0982	0.1134	0.0830	32376.000000	14193.000000
712	178071	68609	15	40	1	2	15	16	C	C	71	1.0000	0.1820	0.2001	0.1640	62977.000000	32873.000000
713	228250	94821	15	41	1	2	15	17	C	C	87	1.0000	0.2196	0.2317	0.2075	65076.000000	23142.000000
714	133119	79521	15	42	1	2	15	18	C	C	75	1.0000	0.2365	0.2632	0.2098	54450.000000	33750.000000
715	470819	155353	15	43	1	2	15	19	C	C	82	1.0000	0.1922	0.2223	0.1620	110864.000000	73226.000000
716	159756	21215	15	44	1	2	15	20	C	C	67	1.0000	0.0924	0.1573	0.0274	50853.000000	15142.000000
717	152471	27539	15	45	1	2	15	21	C	C	71	1.0000	0.1249	0.1516	0.0983	52895.000000	16614.000000
718	144176	65014	15	46	1	2	15	22	C	C	69	1.0000	0.1399	0.1538	0.1261	50025.000000	34224.000000
719	3986119	1208449	15	47	1	2	15	23	C	C	125	0.5920	0.3968	0.4267	0.3670	517852.000000	360602.000000
720	3263490	2212871	15	48	1	2	15	24	C	C	95	1.0000	0.4782	0.5292	0.4272	1611865.000000	1353275.000000
721	147183	73450	16	1	1	1	16	1	C	C	69	1.0000	0.2113	0.2227	0.1999	31947.000000	14490.000000
722	320372	301585	16	2	1	1	16	2	C	C	89	1.0000	0.6054	0.5976	0.6132	47259.000000	20559.000000
723	518436	536832	16	3	1	1	16	3	C	C	97	1.0000	0.6386	0.6386	0.6386	46366.000000	24444.000000
724	136969	179385	16	4	1	1	16	4	C	C	71	1.0000	0.2916	0.2809	0.3023	35784.000000	16472.000000
725	142987	101851	16	5	1	1	16	5	C	C	80	1.0000	0.3969	0.3926	0.4011	44640.000000	16720.000000
726	384986	357615	16	6	1	1	16	6	C	C	73	1.0000	0.3937	0.3861	0.4013	50589.000000	21316.000000
727	149543	68570	16	7	1	1	16	7	C	C	63	1.0000	0.2306	0.2371	0.2241	34650.000000	13671.000000
728	1287805	1321860	16	8	1	1	16	8	C	C	85	1.0000	0.4999	0.5016	0.4983	55760.000000	37655.000000
729	1541263	1554705	16	9	1	1	16	9	C	C	97	1.0000	0.6367	0.6313	0.6422	57715.000000	42583.000000
730	833451	1118922	16	10	1	1	16	10	C	C	83	1.0000	0.9132	0.8895	0.9369	51875.000000	30378.000000
731	1164005	1020205	16	11	1	1	16	11	S	S	113	0.2743	0.9072	0.8898	0.9247	35898.000000	21080.000000
732	374015	268359	16	12	1	1	16	12	C	C	88	1.0000	0.9152	0.9346	0.8957	43912.000000	19888.000000
733	65692	91432	16	13	1	1	16	13	C	C	76	1.0000	0.3817	0.3405	0.4230	30704.000000	16492.000000
734	87823	43915	16	14	1	1	16	14	C	C	63	1.0000	0.3021	0.3162	0.2881	23373.000000	12474.000000
735	473069	479017	16	15	1	1	16	15	C	C	85	1.0000	0.9346	0.9199	0.9493	44625.000000	19805.000000
736	86587	58004	16	16	1	1	16	16	C	C	68	1.0000	0.2241	0.2231	0.2251	28084.000000	13804.000000
737	171812	116559	16	17	1	1	16	17	C	C	77	1.0000	0.3967	0.3996	0.3939	41426.000000	16247.000000
738	101482	51311	16	18	1	1	16	18	C	C	63	1.0000	0.3644	0.3813	0.3475	32067.000000	13104.000000
739	459077	350996	16	19	1	1	16	19	C	C	84	1.0000	0.5906	0.5887	0.5925	44184.000000	18648.000000
740	202548	123827	16	20	1	1	16	20	C	C	80	1.0000	0.4141	0.4249	0.4034	36240.000000	17360.000000
741	334566	145276	16	21	1	1	16	21	C	C	71	1.0000	0.4033	0.4176	0.3890	40683.000000	14981.000000
742	129837	183830	16	22	1	1	16	22	C	C	82	1.0000	0.5976	0.5633	0.6318	37064.000000	16810.000000
743	120793	71273	16	23	1	1	16	23	C	C	69	1.0000	0.3159	0.3159	0.3159	33603.000000	14973.000000
744	3723894	2779567	16	24	1	1	16	24	C	C	98	0.8469	0.8961	0.8873	0.9049	86071.000000	39757.000000
745	143013	103389	16	25	1	2	16	1	C	C	67	1.0000	0.1909	0.1884	0.1935	50719.000000	21909.000000
746	79358	21212	16	26	1	2	16	2	C	C	50	1.0000	0.0992	0.1211	0.0774	28200.000000	14300.000000
747	136371	176973	16	27	1	2	16	3	C	C	74	1.0000	0.1286	0.1161	0.1411	58978.000000	30784.000000
748	75722	18298	16	28	1	2	16	4	C	C	60	1.0000	0.0000	0.0000	0.0000	28200.000000	13200.000000
749	116842	67529	16	29	1	2	16	5	C	C	69	1.0000	0.1977	0.2090	0.1865	46161.000000	24357.000000
750	243630	198535	16	30	1	2	16	6	C	C	84	1.0000	0.2468	0.2342	0.2595	93912.000000	37128.000000
751	202579	132745	16	31	1	2	16	7	C	C	65	1.0000	0.0000	0.0000	0.0000	99515.000000	89245.000000
752	1286824	821126	16	32	1	2	16	8	C	C	99	1.0000	0.3302	0.3409	0.3194	138402.000000	89100.000000
753	600124	694919	16	33	1	2	16	9	C	C	94	1.0000	0.5210	0.5092	0.5328	91462.000000	48598.000000
754	233681	98259	16	34	1	2	16	10	C	C	69	1.0000	0.1690	0.1803	0.1577	66723.000000	26979.000000
755	132957	125009	16	35	1	2	16	11	C	C	63	1.0000	0.2229	0.2263	0.2195	49329.000000	33831.000000
756	399240	552009	16	36	1	2	16	12	C	C	266	0.0526	0.7315	0.7071	0.7559	76048.000000	116522.000000
757	387922	361482	16	37	1	2	16	13	C	C	62	1.0000	0.2676	0.4123	0.1229	105896.000000	82274.000000
758	84414	25830	16	38	1	2	16	14	C	C	57	1.0000	0.1733	0.2001	0.1465	29925.000000	14991.000000
759	116697	43252	16	39	1	2	16	15	C	C	67	1.0000	0.0836	0.0894	0.0778	37855.000000	16616.000000
760	148840	51245	16	40	1	2	16	16	C	C	71	1.0000	0.2189	0.2572	0.1806	55167.000000	29323.000000
761	251812	129111	16	41	1	2	16	17	C	C	85	1.0000	0.2208	0.2290	0.2127	71145.000000	25670.000000
762	126517	82464	16	42	1	2	16	18	C	C	73	1.0000	0.1970	0.2003	0.1936	52049.000000	24382.000000
763	420440	139135	16	43	1	2	16	19	C	C	78	1.0000	0.1144	0.1426	0.0862	108030.000000	78624.000000
764	179015	24859	16	44	1	2	16	20	C	C	75	1.0000	0.1422	0.1726	0.1117	58275.000000	16875.000000
765	119388	18824	16	45	1	2	16	21	C	C	61	1.0000	0.0000	0.0000	0.0000	40626.000000	13786.000000
766	167002	74172	16	46	1	2	16	22	C	C	80	1.0000	0.0860	0.1165	0.0556	70880.000000	59120.000000
767	4917504	1531637	16	47	1	2	16	23	C	C	114	0.7982	0.3273	0.3514	0.3032	875875.000000	467376.000000
768	2986038	1925593	16	48	1	2	16	24	C	C	100	1.0000	0.3797	0.4059	0.3535	1110400.000000	896200.000000
769	93268	63434	17	1	2	1	1	1	C	C	64	1.0000	0.4528	0.4780	0.4276	24064.000000	12224.000000
770	61395	21308	17	2	2	1	1	2	C	C	58	1.0000	0.0000	0.0000	0.0000	22040.000000	11890.000000
771	2476489	3015377	17	3	2	1	1	3	C	C	83	0.7590	0.8977	0.8699	0.9256	54999.000000	36414.000000
772	1944712	1602625	17	4	2	1	1	4	C	C	85	1.0000	0.9619	0.9619	0.9619	58055.000000	33150.000000
773	519778	652483	17	5	2	1	1	5	C	C	85	1.0000	0.9498	0.9437	0.9559	43435.000000	21675.000000
774	108599	119034	17	6	2	1	1	6	C	C	70	1.0000	0.4081	0.3889	0.4274	30380.000000	14700.000000
775	340911	209685	17	7	2	1	1	7	C	C	76	1.0000	0.6975	0.7177	0.6772	40280.000000	16492.000000
776	685417	414937	17	8	2	1	1	8	C	C	91	1.0000	0.6387	0.6595	0.6178	61607.000000	24024.000000
777	332066	289263	17	9	2	1	1	9	C	C	88	1.0000	0.7443	0.7398	0.7487	43472.000000	19888.000000
778	94467	44970	17	10	2	1	1	10	C	C	66	1.0000	0.1163	0.1234	0.1092	29634.000000	14058.000000
779	145241	106340	17	11	2	1	1	11	C	C	76	1.0000	0.5141	0.5217	0.5066	34656.000000	15276.000000
780	94589	33157	17	12	2	1	1	12	C	C	65	1.0000	0.2378	0.2524	0.2231	29575.000000	12610.000000
781	339561	547940	17	13	2	1	1	13	C	C	124	0.1129	0.8409	0.7559	0.9258	26488.000000	29638.000000
782	844115	471113	17	14	2	1	1	14	C	C	85	1.0000	0.5447	0.5657	0.5237	64005.000000	27285.000000
783	495565	543970	17	15	2	1	1	15	C	C	115	0.1391	0.8495	0.7984	0.9007	23296.000000	16144.000000
784	193773	173439	17	16	2	1	1	16	C	C	81	1.0000	0.6866	0.6913	0.6819	44064.000000	19683.000000
785	472158	716001	17	17	2	1	1	17	C	C	123	0.1545	0.8840	0.7947	0.9733	28177.000000	38836.000000
786	750436	713845	17	18	2	1	1	18	C	C	88	1.0000	0.9497	0.9527	0.9468	59136.000000	28688.000000
787	1750275	1737660	17	19	2	1	1	19	S	S	108	0.4167	0.8793	0.8626	0.8960	47430.000000	41625.000000
788	90794	69835	17	20	2	1	1	20	C	C	53	1.0000	0.6394	0.6465	0.6323	26235.000000	11236.000000
789	257828	163201	17	21	2	1	1	21	C	C	85	1.0000	0.4884	0.4979	0.4789	41990.000000	18530.000000
790	138545	105205	17	22	2	1	1	22	C	C	87	1.0000	0.4730	0.4777	0.4684	39759.000000	17835.000000
791	88217	48035	17	23	2	1	1	23	C	C	58	1.0000	0.3356	0.3443	0.3269	26274.000000	11368.000000
792	71145	27159	17	24	2	1	1	24	B	B	48	1.0000	0.3061	0.3204	0.2918	23184.000000	9408.000000
793	79111	20857	17	25	2	2	1	1	C	C	61	1.0000	0.0888	0.1096	0.0679	29036.000000	12383.000000
794	844562	989907	17	26	2	2	1	2	C	C	82	1.0000	0.9160	0.9042	0.9277	54202.000000	23042.000000
795	373776	345092	17	27	2	2	1	3	C	C	73	1.0000	0.8576	0.8446	0.8706	46501.000000	17374.000000
796	117348	105461	17	28	2	2	1	4	C	C	80	1.0000	0.5344	0.5135	0.5553	43440.000000	16240.000000
797	85551	84899	17	29	2	2	1	5	C	C	79	1.0000	0.5834	0.5591	0.6078	34286.000000	14852.000000
798	1355468	1649261	17	30	2	2	1	6	C	C	67	1.0000	0.8538	0.8364	0.8711	42210.000000	22445.000000
799	343322	193014	17	31	2	2	1	7	C	C	76	1.0000	0.5928	0.6036	0.5820	47044.000000	16264.000000
800	96317	108664	17	32	2	2	1	8	C	C	73	1.0000	0.6028	0.5767	0.6290	28105.000000	14308.000000
801	275351	171378	17	33	2	2	1	9	C	C	71	1.0000	0.5305	0.5367	0.5243	40186.000000	15549.000000
802	436250	370109	17	34	2	2	1	10	C	C	77	1.0000	0.5408	0.5388	0.5427	50127.000000	19943.000000
803	267580	114254	17	35	2	2	1	11	C	C	69	1.0000	0.5335	0.5480	0.5190	40572.000000	14559.000000
804	237222	87927	17	36	2	2	1	12	C	C	66	1.0000	0.7159	0.7491	0.6828	41844.000000	13464.000000
805	393202	292771	17	37	2	2	1	13	C	C	77	1.0000	0.8863	0.8925	0.8801	43967.000000	16401.000000
806	678517	596332	17	38	2	2	1	14	C	C	84	1.0000	0.9197	0.9286	0.9108	48216.000000	20496.000000
807	662592	667601	17	39	2	2	1	15	C	C	77	1.0000	0.8308	0.8161	0.8455	51436.000000	18249.000000
808	294389	299865	17	40	2	2	1	16	C	C	84	1.0000	0.8820	0.8879	0.8762	47628.000000	19068.000000
809	1063626	1237593	17	41	2	2	1	17	C	C	76	1.0000	0.9068	0.8935	0.9202	54036.000000	21432.000000
810	950363	722778	17	42	2	2	1	18	C	C	95	1.0000	0.9652	0.9679	0.9625	57665.000000	25935.000000
811	178328	126397	17	43	2	2	1	19	C	C	75	1.0000	0.6015	0.6103	0.5926	40650.000000	15150.000000
812	77318	16571	17	44	2	2	1	20	C	C	61	1.0000	0.0000	0.0000	0.0000	28853.000000	11346.000000
813	607686	530218	17	45	2	2	1	21	C	C	90	1.0000	0.8735	0.8655	0.8816	57420.000000	21780.000000
814	2500344	2520002	17	46	2	2	1	22	C	C	74	1.0000	0.6476	0.6401	0.6551	64602.000000	35890.000000
815	1185465	916510	17	47	2	2	1	23	C	C	102	1.0000	0.5737	0.5768	0.5706	95778.000000	37332.000000
816	824449	910159	17	48	2	2	1	24	C	C	76	1.0000	0.8882	0.8753	0.9011	54036.000000	21584.000000
817	94266	68328	18	1	2	1	2	1	C	C	70	1.0000	0.6221	0.6221	0.6221	25550.000000	13440.000000
818	64416	25068	18	2	2	1	2	2	C	C	53	1.0000	0.1882	0.2058	0.1705	20246.000000	10865.000000
819	2028003	2337072	18	3	2	1	2	3	C	C	92	0.6196	0.9223	0.9081	0.9366	50844.000000	34428.000000
820	2160068	1892862	18	4	2	1	2	4	C	C	80	1.0000	0.9726	0.9790	0.9663	69200.000000	31280.000000
821	571530	735578	18	5	2	1	2	5	C	C	89	1.0000	0.9657	0.9657	0.9657	52421.000000	21627.000000
822	93275	92009	18	6	2	1	2	6	C	C	69	1.0000	0.2930	0.2860	0.3000	34983.000000	15249.000000
823	337562	237930	18	7	2	1	2	7	C	C	80	1.0000	0.7540	0.7644	0.7437	38320.000000	17520.000000
824	561398	421443	18	8	2	1	2	8	C	C	91	1.0000	0.6552	0.6591	0.6514	57057.000000	25662.000000
825	344939	357492	18	9	2	1	2	9	C	C	85	1.0000	0.8728	0.8646	0.8809	42075.000000	20145.000000
826	106667	65427	18	10	2	1	2	10	C	C	73	1.0000	0.3029	0.3065	0.2993	39785.000000	16206.000000
827	156535	119770	18	11	2	1	2	11	C	C	69	1.0000	0.5441	0.5441	0.5441	32016.000000	13800.000000
828	115033	37982	18	12	2	1	2	12	C	C	61	1.0000	0.2381	0.2538	0.2223	36966.000000	12566.000000
829	477205	542838	18	13	2	1	2	13	C	C	121	0.1322	0.8982	0.8482	0.9483	26976.000000	26272.000000
830	1081390	753038	18	14	2	1	2	14	C	C	92	1.0000	0.9410	0.9576	0.9244	65872.000000	31832.000000
831	489136	521734	18	15	2	1	2	15	C	C	121	0.1570	0.9264	0.9264	0.9264	27607.000000	18278.000000
832	206097	194051	18	16	2	1	2	16	C	C	85	1.0000	0.6798	0.6753	0.6843	41650.000000	23885.000000
833	506566	776943	18	17	2	1	2	17	C	C	127	0.1654	0.8644	0.7827	0.9462	29106.000000	43533.000000
834	638179	637838	18	18	2	1	2	18	C	C	85	1.0000	0.9610	0.9579	0.9641	49640.000000	25670.000000
835	611570	689484	18	19	2	1	2	19	C	C	111	0.1622	0.8134	0.7820	0.8447	18198.000000	21564.000000
836	108600	88977	18	20	2	1	2	20	C	C	59	1.0000	0.7137	0.7000	0.7274	31329.000000	12331.000000
837	337269	237270	18	21	2	1	2	21	C	C	91	1.0000	0.6228	0.6414	0.6043	55601.000000	21749.000000
838	110931	77546	18	22	2	1	2	22	C	C	73	1.0000	0.4195	0.4245	0.4146	34237.000000	15038.000000
839	105776	58253	18	23	2	1	2	23	C	C	76	1.0000	0.3177	0.3340	0.3014	36784.000000	14896.000000
840	69688	26397	18	24	2	1	2	24	C	C	51	1.0000	0.1557	0.1661	0.1454	23562.000000	10149.000000
841	72805	18735	18	25	2	2	2	1	C	C	52	1.0000	0.0000	0.0000	0.0000	28028.000000	10140.000000
842	943986	1107300	18	26	2	2	2	2	C	C	79	1.0000	0.9630	0.9630	0.9630	51903.000000	21725.000000
843	476558	470324	18	27	2	2	2	3	C	C	71	1.0000	0.7605	0.7634	0.7576	41677.000000	16614.000000
844	135045	116599	18	28	2	2	2	4	C	C	80	1.0000	0.8389	0.8269	0.8508	39840.000000	15840.000000
845	89402	80803	18	29	2	2	2	5	C	C	76	1.0000	0.5730	0.5656	0.5805	35872.000000	14668.000000
846	1638839	1943378	18	30	2	2	2	6	C	C	73	1.0000	0.8399	0.8399	0.8399	47012.000000	21316.000000
847	371508	224131	18	31	2	2	2	7	C	C	78	1.0000	0.7623	0.7808	0.7439	37830.000000	15678.000000
848	96700	106108	18	32	2	2	2	8	C	C	72	1.0000	0.5946	0.5442	0.6449	38304.000000	13680.000000
849	295614	189835	18	33	2	2	2	9	C	C	75	1.0000	0.5874	0.5938	0.5810	41250.000000	14850.000000
850	515364	432523	18	34	2	2	2	10	C	C	79	1.0000	0.5198	0.5216	0.5180	49217.000000	18802.000000
851	246876	103103	18	35	2	2	2	11	C	C	68	1.0000	0.4351	0.4526	0.4175	41820.000000	13396.000000
852	208387	83201	18	36	2	2	2	12	C	C	63	1.0000	0.5990	0.6225	0.5756	36477.000000	12033.000000
853	354817	290508	18	37	2	2	2	13	C	C	81	1.0000	0.9218	0.9309	0.9126	50949.000000	17577.000000
854	697330	556085	18	38	2	2	2	14	C	C	90	1.0000	0.9298	0.9353	0.9242	52470.000000	20610.000000
855	696090	659941	18	39	2	2	2	15	C	C	77	1.0000	0.9110	0.9110	0.9110	44891.000000	18095.000000
856	273664	277319	18	40	2	2	2	16	C	C	80	1.0000	0.8508	0.8389	0.8626	43760.000000	17280.000000
857	1135064	1256705	18	41	2	2	2	17	C	C	80	1.0000	0.9466	0.9335	0.9598	58240.000000	20400.000000
858	962559	734141	18	42	2	2	2	18	C	C	93	1.0000	0.8887	0.8912	0.8861	63612.000000	22506.000000
859	175570	156257	18	43	2	2	2	19	C	C	77	1.0000	0.9334	0.9236	0.9432	43967.000000	16324.000000
860	66574	14440	18	44	2	2	2	20	C	C	56	1.0000	0.0881	0.1144	0.0617	25312.000000	10752.000000
861	720623	644925	18	45	2	2	2	21	C	C	88	1.0000	0.9264	0.9120	0.9408	52624.000000	21384.000000
862	2847445	2823456	18	46	2	2	2	22	C	C	83	1.0000	0.6879	0.6855	0.6903	77937.000000	38263.000000
863	1126475	887741	18	47	2	2	2	23	C	C	101	1.0000	0.5100	0.5100	0.5100	97667.000000	38178.000000
864	1067298	1130279	18	48	2	2	2	24	C	C	85	1.0000	0.9557	0.9376	0.9739	63495.000000	25500.000000
865	97423	126237	19	1	2	1	3	1	C	C	79	1.0000	0.7045	0.6629	0.7461	30257.000000	15405.000000
866	60388	19277	19	2	2	1	3	2	C	C	50	1.0000	0.2307	0.2501	0.2113	18450.000000	9650.000000
867	156608	83325	19	3	2	1	3	3	C	C	75	1.0000	0.5017	0.5263	0.4771	27675.000000	15450.000000
868	1310723	1060164	19	4	2	1	3	4	C	C	79	1.0000	0.9468	0.9435	0.9500	46294.000000	23305.000000
869	449064	419303	19	5	2	1	3	5	C	C	95	1.0000	0.8997	0.8971	0.9023	45125.000000	21565.000000
870	1011772	669791	19	6	2	1	3	6	C	C	83	1.0000	0.9562	0.9625	0.9499	42081.000000	21165.000000
871	294547	228866	19	7	2	1	3	7	C	C	88	1.0000	0.5691	0.5744	0.5638	42416.000000	20240.000000
872	334659	123236	19	8	2	1	3	8	C	C	75	1.0000	0.5204	0.5455	0.4953	44175.000000	16875.000000
873	682359	345866	19	9	2	1	3	9	C	C	76	1.0000	0.6891	0.7086	0.6697	43700.000000	17784.000000
874	1514120	1759881	19	10	2	1	3	10	C	C	90	1.0000	0.8391	0.8315	0.8467	60210.000000	30780.000000
875	70939	28776	19	11	2	1	3	11	C	C	58	1.0000	0.1039	0.1124	0.0954	25346.000000	11832.000000
876	395539	236058	19	12	2	1	3	12	C	C	97	1.0000	0.3343	0.3410	0.3276	58200.000000	25899.000000
877	93390	57252	19	13	2	1	3	13	C	C	60	1.0000	0.3723	0.3949	0.3497	30600.000000	15300.000000
878	106781	63269	19	14	2	1	3	14	C	C	73	1.0000	0.2795	0.2888	0.2701	34383.000000	15184.000000
879	163931	56100	19	15	2	1	3	15	C	C	67	1.0000	0.2873	0.3044	0.2702	32294.000000	15678.000000
880	1692632	1864376	19	16	2	1	3	16	C	C	89	1.0000	0.9685	0.9540	0.9830	62923.000000	32485.000000
881	90094	30101	19	17	2	1	3	17	C	C	53	1.0000	0.1882	0.2058	0.1705	24645.000000	12349.000000
882	77825	18357	19	18	2	1	3	18	C	C	69	1.0000	0.1009	0.1256	0.0761	27048.000000	13938.000000
883	382243	294936	19	19	2	1	3	19	C	C	90	1.0000	0.7032	0.7117	0.6947	46620.000000	24120.000000
884	351162	328411	19	20	2	1	3	20	C	C	97	1.0000	0.7571	0.7550	0.7593	44329.000000	21728.000000
885	296724	471650	19	21	2	1	3	21	C	C	80	1.0000	0.6922	0.6801	0.7043	42800.000000	18880.000000
886	523653	511752	19	22	2	1	3	22	C	C	89	1.0000	0.9540	0.9481	0.9599	41741.000000	20025.000000
887	117846	39709	19	23	2	1	3	23	C	C	56	1.0000	0.2858	0.2941	0.2776	29120.000000	10976.000000
888	216517	180165	19	24	2	1	3	24	C	C	84	1.0000	0.5221	0.5257	0.5185	40824.000000	18564.000000
889	74196	25248	19	25	2	2	3	1	C	C	56	1.0000	0.0000	0.0000	0.0000	28784.000000	11536.000000
890	506084	454198	19	26	2	2	3	2	C	C	76	1.0000	0.5065	0.5104	0.5027	59052.000000	26296.000000
891	186804	134279	19	27	2	2	3	3	C	C	73	1.0000	0.2689	0.2689	0.2689	44092.000000	17520.000000
892	2170579	2772204	19	28	2	2	3	4	C	C	86	0.8256	0.5578	0.5533	0.5622	67521.000000	60137.000000
893	142550	108519	19	29	2	2	3	5	C	C	69	1.0000	0.4215	0.4252	0.4177	39123.000000	14973.000000
894	296799	106295	19	30	2	2	3	6	C	C	59	1.0000	0.7523	0.7802	0.7244	32391.000000	12626.000000
895	390820	280842	19	31	2	2	3	7	C	C	88	1.0000	0.6049	0.6087	0.6010	44704.000000	18744.000000
896	424395	138107	19	32	2	2	3	8	C	C	66	1.0000	0.5855	0.6047	0.5662	37818.000000	15048.000000
897	2254243	2604034	19	33	2	2	3	9	C	C	85	1.0000	0.9435	0.9376	0.9493	62050.000000	34170.000000
898	650427	646594	19	34	2	2	3	10	C	C	103	1.0000	0.8207	0.8207	0.8207	66435.000000	27501.000000
899	144594	128692	19	35	2	2	3	11	C	C	75	1.0000	0.7600	0.7600	0.7600	38625.000000	14175.000000
900	88937	37573	19	36	2	2	3	12	C	C	58	1.0000	0.2101	0.2291	0.1912	26970.000000	11252.000000
901	318025	258292	19	37	2	2	3	13	C	C	75	1.0000	0.7143	0.7221	0.7066	41475.000000	16050.000000
902	286405	86392	19	38	2	2	3	14	C	C	73	1.0000	0.4126	0.4314	0.3938	41610.000000	14308.000000
903	482570	540377	19	39	2	2	3	15	C	C	81	1.0000	0.8747	0.8602	0.8892	44793.000000	19035.000000
904	105005	43544	19	40	2	2	3	16	C	C	67	1.0000	0.2576	0.2841	0.2311	33835.000000	13266.000000
905	157690	43779	19	41	2	2	3	17	C	C	65	1.0000	0.3470	0.3633	0.3306	35685.000000	12870.000000
906	111073	44558	19	42	2	2	3	18	C	C	71	1.0000	0.2974	0.3232	0.2715	33441.000000	13632.000000
907	2297902	2407761	19	43	2	2	3	19	C	C	85	1.0000	0.6750	0.6728	0.6772	81090.000000	47770.000000
908	686790	654017	19	44	2	2	3	20	C	C	94	1.0000	0.5846	0.5864	0.5829	72192.000000	30550.000000
909	252295	662648	19	45	2	2	3	21	C	C	79	1.0000	0.8929	0.8619	0.9240	46768.000000	19276.000000
910	248928	180436	19	46	2	2	3	22	C	C	81	1.0000	0.7799	0.7878	0.7719	46089.000000	16929.000000
911	186778	96073	19	47	2	2	3	23	C	C	68	1.0000	0.4192	0.4283	0.4101	41412.000000	13736.000000
912	2409866	2514458	19	48	2	2	3	24	C	C	85	1.0000	0.9347	0.9258	0.9435	75055.000000	37485.000000
913	102352	131520	20	1	2	1	4	1	C	C	75	1.0000	0.6714	0.6299	0.7129	33150.000000	15600.000000
914	59510	21745	20	2	2	1	4	2	C	C	50	1.0000	0.1087	0.1211	0.0963	18800.000000	10200.000000
915	167079	85275	20	3	2	1	4	3	C	C	69	1.0000	0.3858	0.3965	0.3752	30981.000000	13869.000000
916	1750449	1435848	20	4	2	1	4	4	C	C	79	1.0000	0.9275	0.9243	0.9306	52772.000000	28282.000000
917	506475	449862	20	5	2	1	4	5	C	C	97	1.0000	0.8195	0.8195	0.8195	51022.000000	23571.000000
918	946143	579257	20	6	2	1	4	6	C	C	86	1.0000	0.8244	0.8375	0.8113	55040.000000	23822.000000
919	289712	239981	20	7	2	1	4	7	C	C	91	1.0000	0.5307	0.5338	0.5275	53508.000000	22022.000000
920	320943	132429	20	8	2	1	4	8	C	C	79	1.0000	0.3520	0.3667	0.3373	48427.000000	19039.000000
921	681981	352680	20	9	2	1	4	9	C	C	81	1.0000	0.6502	0.6674	0.6331	40581.000000	19440.000000
922	1529261	1897729	20	10	2	1	4	10	C	C	86	1.0000	0.9673	0.9462	0.9883	69488.000000	43688.000000
923	68207	21007	20	11	2	1	4	11	C	C	54	1.0000	0.0000	0.0000	0.0000	24624.000000	12312.000000
924	412855	205786	20	12	2	1	4	12	C	C	83	1.0000	0.4047	0.4236	0.3858	54697.000000	24900.000000
925	90002	45672	20	13	2	1	4	13	C	C	54	1.0000	0.1882	0.1999	0.1765	28674.000000	11502.000000
926	102524	70540	20	14	2	1	4	14	C	C	79	1.0000	0.3504	0.3584	0.3424	35313.000000	15721.000000
927	153377	62427	20	15	2	1	4	15	C	C	67	1.0000	0.3411	0.3566	0.3255	33701.000000	14070.000000
